"Nr.","Spieltag","Datum","Heim","Gast","Endstand","1.Virtel","Halbzeit","2.Virtel","Verlaengerung"
"73","15","09.03.2024 17:30","TSB Schwäbisch Gmünd 2","TSV Essingen","76 : 77","21 : 23","42 : 37","56 : 62",""
"72","15","09.03.2024 10:30","SpVgg Möhringen 2","Aalener Sportallianz","73 : 57","14 : 12","32 : 28","57 : 43",""
"66","14","03.03.2024 16:15","TSV Essingen","SpVgg Möhringen 2","72 : 55","18 : 12","38 : 25","53 : 47",""
"67","14","02.03.2024 18:00","SG Schorndorf","TSB Schwäbisch Gmünd 2","51 : 46","13 : 14","19 : 24","33 : 36",""
"70","14","02.03.2024 14:00","Sportvg Feuerbach 3","Tb Ruit Deers","40 : 76","9 : 6","19 : 31","27 : 50",""
"64","13","25.02.2024 16:15","TSV Essingen","SG Schorndorf","82 : 45","18 : 7","34 : 17","55 : 33",""
"61","13","25.02.2024 14:00","Tb Ruit Deers","ASV Aichwald","77 : 79","16 : 21","43 : 41","57 : 62",""
"65","13","24.02.2024 17:30","TSB Schwäbisch Gmünd 2","Sportvg Feuerbach 3","86 : 60","15 : 11","38 : 33","60 : 50",""
"63","13","24.02.2024 14:30","SpVgg Möhringen 2","TSV Schmiden 2","88 : 71","25 : 15","54 : 36","74 : 49",""
"39","8","17.02.2024 16:30","SG Schorndorf","TSV Schmiden 2","47 : 45","12 : 16","18 : 28","34 : 37",""
"60","12","04.02.2024 18:00","Aalener Sportallianz","Tb Ruit Deers","64 : 78","16 : 16","33 : 42","49 : 59",""
"57","12","04.02.2024 16:00","ASV Aichwald","TSB Schwäbisch Gmünd 2","60 : 39","12 : 15","30 : 21","42 : 33",""
"58","12","04.02.2024 12:00","Sportvg Feuerbach 3","TSV Essingen","47 : 105","12 : 36","30 : 58","43 : 82",""
"56","12","03.02.2024 16:00","SG Schorndorf","SpVgg Möhringen 2","40 : 72","5 : 13","12 : 39","28 : 54",""
"53","11","28.01.2024 14:00","Tb Ruit Deers","TSV Schmiden 2","78 : 90","14 : 24","36 : 43","58 : 65",""
"55","11","27.01.2024 18:00","SG Schorndorf","Sportvg Feuerbach 3","79 : 73","8 : 18","31 : 34","55 : 53",""
"52","11","27.01.2024 17:30","TSB Schwäbisch Gmünd 2","Aalener Sportallianz","63 : 51","19 : 13","38 : 34","49 : 49",""
"48","10","21.01.2024 18:00","Aalener Sportallianz","TSV Essingen","58 : 89","8 : 20","24 : 40","39 : 63",""
"49","10","21.01.2024 16:00","ASV Aichwald","SG Schorndorf","69 : 58","18 : 12","38 : 28","57 : 48",""
"46","10","21.01.2024 14:00","Sportvg Feuerbach 3","SpVgg Möhringen 2","43 : 67","16 : 18","23 : 28","31 : 48",""
"47","10","21.01.2024 14:00","TSV Schmiden 2","TSB Schwäbisch Gmünd 2","51 : 53","18 : 12","27 : 21","40 : 43",""
"13","3","17.12.2023 16:15","TSV Essingen","Sportvg Feuerbach 3","117 : 33","26 : 10","54 : 14","85 : 23",""
"22","5","16.12.2023 17:30","TSB Schwäbisch Gmünd 2","SG Schorndorf","48 : 46","16 : 9","22 : 20","34 : 35",""
"42","9","10.12.2023 18:00","Aalener Sportallianz","SG Schorndorf","74 : 66","14 : 14","35 : 38","53 : 59",""
"41","9","10.12.2023 16:00","ASV Aichwald","Sportvg Feuerbach 3","82 : 47","22 : 15","45 : 22","71 : 33",""
"45","9","10.12.2023 14:00","Tb Ruit Deers","SpVgg Möhringen 2","85 : 82","19 : 29","49 : 47","72 : 62",""
"43","9","09.12.2023 13:00","TSV Schmiden 2","TSV Essingen","61 : 69","15 : 19","27 : 33","53 : 51",""
"40","8","03.12.2023 12:00","Sportvg Feuerbach 3","Aalener Sportallianz","50 : 62","10 : 17","30 : 30","38 : 49",""
"37","8","02.12.2023 17:30","TSB Schwäbisch Gmünd 2","Tb Ruit Deers","60 : 54","11 : 8","24 : 20","39 : 37",""
"36","8","02.12.2023 14:30","SpVgg Möhringen 2","ASV Aichwald","47 : 59","15 : 12","34 : 23","37 : 37",""
"32","7","26.11.2023 16:00","Aalener Sportallianz","ASV Aichwald","49 : 67","19 : 13","28 : 31","42 : 48",""
"33","7","26.11.2023 14:00","TSV Schmiden 2","Sportvg Feuerbach 3","96 : 47","19 : 11","45 : 25","69 : 38",""
"35","7","26.11.2023 14:00","Tb Ruit Deers","TSV Essingen","61 : 68","21 : 16","29 : 34","45 : 46",""
"31","7","25.11.2023 14:30","SpVgg Möhringen 2","TSB Schwäbisch Gmünd 2","67 : 64","15 : 10","28 : 26","46 : 44",""
"29","6","19.11.2023 18:00","SG Schorndorf","Tb Ruit Deers","72 : 89","23 : 20","42 : 40","58 : 62",""
"28","6","19.11.2023 16:15","TSV Essingen","TSB Schwäbisch Gmünd 2","87 : 38","24 : 9","48 : 16","58 : 26",""
"27","6","18.11.2023 14:00","Aalener Sportallianz","SpVgg Möhringen 2","82 : 76","29 : 18","50 : 35","62 : 55",""
"23","5","12.11.2023 14:00","TSV Schmiden 2","Aalener Sportallianz","65 : 52","18 : 21","29 : 31","42 : 39",""
"25","5","12.11.2023 14:00","Tb Ruit Deers","Sportvg Feuerbach 3","114 : 43","25 : 11","51 : 20","81 : 33",""
"21","5","12.11.2023 12:00","SpVgg Möhringen 2","TSV Essingen","48 : 72","8 : 22","26 : 40","39 : 54",""
"26","6","05.11.2023 16:00","ASV Aichwald","TSV Schmiden 2","48 : 43","15 : 12","24 : 28","37 : 35",""
"51","11","29.10.2023 16:15","TSV Essingen","ASV Aichwald","69 : 53","11 : 14","28 : 20","44 : 39",""
"68","14","29.10.2023 14:00","Aalener Sportallianz","TSV Schmiden 2","44 : 75","9 : 13","25 : 39","34 : 56",""
"16","4","22.10.2023 16:00","ASV Aichwald","Tb Ruit Deers","55 : 68","15 : 15","28 : 35","40 : 48",""
"18","4","22.10.2023 14:00","TSV Schmiden 2","SpVgg Möhringen 2","52 : 42","12 : 16","27 : 27","40 : 36",""
"20","4","22.10.2023 12:00","Sportvg Feuerbach 3","TSB Schwäbisch Gmünd 2","49 : 80","17 : 15","26 : 41","40 : 55",""
"19","4","21.10.2023 18:30","SG Schorndorf","TSV Essingen","42 : 74","9 : 15","25 : 39","36 : 51",""
"12","3","15.10.2023 17:30","TSB Schwäbisch Gmünd 2","ASV Aichwald","53 : 56","18 : 5","28 : 24","39 : 39",""
"11","3","15.10.2023 16:45","SpVgg Möhringen 2","SG Schorndorf","50 : 43","16 : 8","23 : 23","31 : 31",""
"15","3","15.10.2023 14:00","Tb Ruit Deers","Aalener Sportallianz","84 : 47","30 : 16","44 : 21","68 : 33",""
"6","2","08.10.2023 16:00","ASV Aichwald","TSV Essingen","64 : 73","21 : 23","42 : 41","55 : 56",""
"7","2","08.10.2023 15:00","Aalener Sportallianz","TSB Schwäbisch Gmünd 2","55 : 64","11 : 24","26 : 29","41 : 45",""
"8","2","08.10.2023 14:00","TSV Schmiden 2","Tb Ruit Deers","80 : 70","24 : 26","41 : 45","58 : 58",""
"10","2","08.10.2023 12:00","Sportvg Feuerbach 3","SG Schorndorf","29 : 60","4 : 5","17 : 24","24 : 41",""
"4","1","01.10.2023 18:00","SG Schorndorf","ASV Aichwald","52 : 58","9 : 6","22 : 20","40 : 34",""
"3","1","01.10.2023 16:15","TSV Essingen","Aalener Sportallianz","104 : 36","16 : 7","49 : 22","75 : 28",""
"2","1","30.09.2023 17:30","TSB Schwäbisch Gmünd 2","TSV Schmiden 2","45 : 64","8 : 21","20 : 38","29 : 52",""
"1","1","30.09.2023 14:00","SpVgg Möhringen 2","Sportvg Feuerbach 3","79 : 27","19 : 9","45 : 15","67 : 21",""
